"Artist","Title","Rank","Playcount"
"Snow Patrol","Set the Fire to the Third Bar","1","152"
"Snow Patrol","You Could Be Happy","2","150"
"The Script","The Man Who Can't Be Moved","3","138"
"Nizlopi","Freedom","4","130"
"Katy Perry","If You Can Afford Me","5","129"
"Snow Patrol","Make This Go on Forever","6","127"
"Katy Perry","Thinking of You","7","126"
"Katy Perry","Lost","8","120"
"Paolo Nutini","Rewind","9","110"
"Paolo Nutini","Million Faces","10","108"
"The Wombats","Moving To New York","11","102"
"Paolo Nutini","Last Request","12","93"
"Katy Perry","Hot n Cold","13","90"
"Paolo Nutini","These Streets","14","89"
"Katy Perry","Waking Up in Vegas","15","82"
"Katy Perry","Self Inflicted","16","82"
"Saint Cecilia","The Flame - Cheap Trick","17","81"
"Paolo Nutini","New Shoes","18","79"
"Kings of Leon","Sex on Fire","19","78"
"Jason Mraz","Coyotes","20","77"
"David Ford","I Don't Care What You Call Me","21","74"
"Bon Iver","Blood Bank","22","73"
"Belleruche","Alice","23","72"
"Katy Perry","I Think I'm Ready","24","72"
"Megan Jacobs","Time to Find","25","71"
"The Courteeners","What Took You So Long","26","69"
"Megan Jacobs","No Need","27","66"
"William Fitzsimmons","If You Would Come Back Home","28","66"
"Megan Jacobs","Love Is My Memory","29","63"
"Jason Mraz","A Beautiful Mess","30","63"
"Michael Buble","Home","31","62"
"Paolo Nutini","Jenny Don't Be Hasty","32","62"
"Jason Mraz","Coyotes (From for a Girl In New York Sessions) [Bonus Track]","33","62"
"blink-182","I Miss You","34","61"
"Paolo Nutini","White Lies","35","60"
"Megan Jacobs","All I Ask","36","59"
"Jason Mraz","I'm Yours","37","58"
"Paolo Nutini","Autumn","38","57"
"Citizen Cope","Bullet And A Target","39","56"
"Paolo Nutini","Loving You","40","56"
"Damien Rice","Cannonball","41","55"
"Joe Purdy","Make It Up","42","55"
"The Courteeners","Bide Your Time","43","55"
"Paloma Faith","Stargazer","44","55"
"Citizen Cope","Pablo Picasso","45","54"
"Fall Out Boy","This Ain't a Scene, It's an Arms Race","46","54"
"Justin Timberlake","FutureSex/LoveSound","47","53"
"The Killers","Replaceable","48","52"
"Maximo Park","Books From Boxes","49","52"
"Iglu & Hartly","In This City","50","51"
"Adele","Tired","51","51"
"William Fitzsimmons","After Afterall","52","51"
"Birdy Nam Nam","Abbesses","53","50"
"Glasvegas","Geraldine","54","50"
"Adele","Melt My Heart to Stone","55","49"
"Florence + the Machine","Howl","56","49"
"Joe Purdy","Paris In The Morning","57","48"
"Fall Out Boy","Thnks fr th Mmrs","58","48"
"Jason Mraz","Details In The Fabric (feat. James Morrison)","59","48"
"Pantless Knights ft. Grasshopper","The New Dork (Entrepreneur State of Mind)","60","48"
"Counting Crows","Colorblind","61","47"
"Nizlopi","Girls","62","47"
"Megan Jacobs","Patience","63","47"
"Rehab","The Bartender","64","46"
"Something Corporate","Konstantine","65","45"
"Sarah McLachlan","I Love You","66","45"
"Marry Me Jane","You Didn't Kiss Me","67","45"
"The Dykeenies","Waiting For Go","68","45"
"Saves the Day","Freakish","69","44"
"Megan Jacobs","Life is Precious","70","44"
"Citizen Cope","Son's Gonna Rise","71","43"
"Jason Mraz","The Dynamo of Volition","72","43"
"Citizen Cope","Sideways","73","42"
"Wayne Toups","Take My Hand","74","42"
"William Fitzsimmons","Please Forgive Me (Song of the Crow)","75","42"
"Joe Purdy","Brand New Set Of Wings","76","41"
"Joe Purdy","Waiting On Something Good","77","41"
"Paloma Faith","Romance Is Dead","78","41"
"Paloma Faith","Play On","79","41"
"Bastille","Flaws","80","41"
"Travis Matte","Vibrator","81","40"
"Alphabeat","Fascination","82","40"
"Paramore","When It Rains","83","40"
"Paloma Faith","My Legs Are Weak","84","40"
"Panic! at the Disco","Nine in the Afternoon","85","40"
"Joe Purdy","I've Been To Holland","86","39"
"Stead","Repetitive","87","39"
"William Fitzsimmons","I Don't Feel It Anymore (Song of the Sparrow)","88","39"
"William Fitzsimmons","Just Not Each Other","89","39"
"The Killers","Human","90","39"
"Citizen Cope","If There's Love","91","38"
"Nizlopi","Wash Away","92","38"
"Gatsby's American Dream","Just Like Heaven (The Cure)","93","38"
"JoJo","Too Little Too Late","94","38"
"Justin Timberlake","My Love","95","38"
"Beyonce","Irreplaceable","96","38"
"Yuna","Decorate","97","38"
"Citizen Cope","Nite Becomes Day","98","37"
"Tegan and Sara","Where Does the Good Go","99","37"
"Joe Purdy","Two Left Feet","100","37"
"Lil Josh & Ernest","Jigga Juice (Feat. Hurricane Chris)","101","37"
"Jason Mraz","A Beautiful Mess (From a Raining Jane Sessions) [Bonus Track]","102","37"
"William Fitzsimmons","Further From You","103","37"
