"Artist","Title","Rank","Playcount"
"Bastille","Overjoyed","1","34"
"Bastille","Oblivion","2","32"
"Bastille","Icarus","3","31"
"Bastille","Flaws","4","31"
"Bastille","These Streets","5","31"
"Bastille","Bad Blood","6","31"
"Bastille","Weight of Living, Pt. II","7","31"
"Bastille","Daniel in the Den","8","28"
"Bastille","Laura Palmer","9","27"
"Bastille","Get Home","10","25"
"Bastille","Weight of Living, Pt. I","11","25"
"Bastille","Things We Lost in the Fire","12","21"
"Bastille","Sleepsong","13","19"
"Bastille","Durban Skies","14","19"
"Bastille","Haunt (demo)","15","19"
"Bastille","Poet","16","19"
"Bastille","Laughter Lines","17","18"
"Bastille","Pompeii","18","18"
"Bastille","Of the Night","19","18"
"Infant Sorrow","Bangers, Beans and Mash","20","17"
"Infant Sorrow","The Clap","21","17"
"Bastille","The Silence","22","17"
"Infant Sorrow","I Am Jesus","23","16"
"Bastille","What Would You Do","24","15"
"Bastille","The Draw","25","15"
"Bleachers","I Wanna Get Better","26","15"
"Infant Sorrow","Riding Daphne","27","14"
"We Are Twin","The Way We Touch","28","14"
"Bastille","Tuning Out...","29","14"
"Bastille","Skulls","30","14"
"Jackie Q","Ring 'Round","31","13"
"Infant Sorrow","F.O.H.","32","13"
"Echosmith","Cool Kids","33","13"
"Jackie Q","Supertight","34","12"
"Jeff Beal","The Ring","35","12"
"Bastille","Previously on Other People's Heartache...","36","11"
"Jeff Beal","House Of Cards Main Title Season 2","37","11"
"Jeff Beal","Freddie's World","38","11"
"Jeff Beal","Two Minutes","39","11"
"Biffy Clyro","Many Of Horror","40","10"
"Infant Sorrow","Yeah Yeah Oi Oi","41","10"
"Andrew Combs","Please, Please, Please","42","10"
"Sir Sly","Ghost","43","10"
"Jeff Beal","Grief Demands An Answer","44","10"
"Jeff Beal","Rock Creek","45","10"
"Jeff Beal","Our Fortress","46","10"
"Jeff Beal","Rachel On The Bus","47","10"
"Alizee","Alcaline","48","10"
"Mit Logarhythms","Here (In Your Arms)","49","9"
"Sam Smith","Stay with Me","50","9"
"Hozier","Work Song","51","9"
"Sam Smith","I'm Not the Only One","52","9"
"Jeff Beal","Toxic President","53","9"
"Jeff Beal","She Fell","54","9"
"Jeff Beal","Heronymous","55","9"
"Jeff Beal","Two More Votes","56","9"
"Priory","Weekend","57","9"
"Sir Sly","Leave You","58","9"
"Infant Sorrow","Little Bird","59","8"
"Infant Sorrow","Searching For A Father","60","8"
"Peter Peter","Carrousel","61","8"
"Sir Sly","Found You Out","62","8"
"Bear's Den","Agape","63","8"
"Andrew Duhon","Gonna Take A Little Rain","64","8"
"Hozier","Take Me to Church","65","8"
"Mayday Parade","Girls","66","8"
"Ceo","Whorehouse","67","8"
"Paloma Faith","Only Love Can Hurt Like This","68","8"
"Rod Melancon","Dreamer","69","8"
"Rod Melancon","Curve Lounge","70","8"
"Sir Sly","Inferno","71","8"
"Sir Sly","You Haunt Me","72","8"
"Sir Sly","Nowhere / Bloodlines Pt. I","73","8"
"Sir Sly","Floods","74","8"
"The King Blues","I Got Love","75","7"
"Andrew Combs","Heavy","76","7"
"Frightened Rabbit","Backyard Skulls","77","7"
"N.W.A","Findum, Fuckum And Flee - Feat. Eazy-E","78","7"
"Sir Sly","Gold","79","7"
"Auden","Pour mieux s'unir","80","7"
"Sheppard","Geronimo","81","7"
"Jeff Beal","A Gift From Feng","82","7"
"Sir Sly","Too Far Gone","83","7"
"Yuna","Decorate","84","6"
"Infant Sorrow","Going Up","85","6"
"Infant Sorrow","Furry Walls","86","6"
"Sam Smith","Leave Your Lover","87","6"
"Jeff Beal","Claire's Secret","88","6"
"Sir Sly","Helpless / Bloodlines Pt. II","89","6"
"Eazy-E","Gimmie That Nutt","90","5"
"Jason Reeves","Photographs & Memories","91","5"
"Andrew Combs","come tomorrow","92","5"
"Jali","Des Ailes","93","5"
"Deorro","Five Hours","94","5"
"Lorde","Team","95","5"
"Sam Smith","I've Told You Now","96","5"
"Sam Smith","Not in That Way","97","5"
"Sam Smith","Like I Can","98","5"
"Lilly Wood & The Prick","Prayer in C - Robin Schulz Radio Edit","99","5"
"Meghan Trainor","All About That Bass","100","5"
"Scott Bradlee & Postmodern Jukebox","Creep","101","5"
"Sir Sly","Witches","102","5"
"Stead","Repetitive","103","4"
"White Lies","To Lose My Life","104","4"
"Fall Out Boy","What a Catch, Donnie","105","4"
"Morgan Page","Fight for You","106","4"
"Morgan Page","Strange Condition","107","4"
"Morgan Page","Back to Life","108","4"
"Morgan Page","Believe","109","4"
"Triggerfinger","I Follow Rivers - Live @ Giel! - VARA/3FM","110","4"
"Sam Smith","Lay Me Down","111","4"
"Magic Man","Paris","112","4"
"Bastian Baker","79 Clinton Street","113","4"
"Ceo","OMG","114","4"
"Union du son","Tombe Sous Le Charme","115","4"
"Sam Smith","Life Support","116","4"
"Timmy Trumpet","Freaks","117","4"
"Magic Man","Out of Mind","118","4"
"Jeff Beal","Pretty Polly","119","4"
"Jeff Beal","Easy As Pie","120","4"
"Jeff Beal","Heat Wave","121","4"
"Jeff Beal","I Hate Lying","122","4"
"Jeff Beal","Lucas Cornered","123","4"
"Jeff Beal","Covert Plans","124","4"
"Ben Howard","Conrad","125","4"
"Magic Man","It All Starts Here","126","4"
"Bear's Den","The Love We Stole","127","4"
"Keith Whitley","Don't Close Your Eyes","128","3"
"Jill Sobule","I Kissed a Girl","129","3"
"Snoop Dogg","Who Am I (What's My Name)?","130","3"
"N.W.A","She Swallowed It","131","3"
"Fall Out Boy","Grand Theft Autumn / Where Is Your Boy","132","3"
"Keith Whitley","Tell Lorrie I Love Her","133","3"
"Half Pint","One Leg Up","134","3"
"Bushwick Bill","Take Em' Off","135","3"
"Richard LeBouef","Empty Glass","136","3"
"Katy Perry","Thinking of You","137","3"
"Briton Malcom Bennett","Say Goodbye","138","3"
"Brand New","(Fork and Knife)","139","3"
"Fall Out Boy","I Don't Care","140","3"
"Fall Out Boy","America's Suitehearts","141","3"
"Infant Sorrow","Just Say Yes","142","3"
"Ramesh","The King","143","3"
"Andrew Combs","Take It From Me","144","3"
"Morgan Page","Agnus Del","145","3"
"N.W.A","Automobile - Feat. Eazy-E","146","3"
"Rod Melancon","South Louisian'","147","3"
"Andrew Combs","Runnin' You Out Of My Mind","148","3"
"Fall Out Boy","Miss Missing You","149","3"
"Fall Out Boy","Death Valley","150","3"
"Fall Out Boy","Young Volcanoes","151","3"
"Fall Out Boy","The Mighty Fall","152","3"
"Fall Out Boy","Rat a Tat","153","3"
"Fall Out Boy","Save Rock and Roll","154","3"
"The Melodic","On My Way","155","3"
"Magic Man","Waves","156","3"
"Ben Howard","I Forget Where We Were","157","3"
"Lorde","Glory and Gore","158","3"
"Drake","Hold On, We're Going Home","159","3"
"Tal","Marcher au soleil","160","3"
"Julien Dore","Chou Wasabi","161","3"
"Ejecta","Mistress","162","3"
"Hozier","Someone New","163","3"
"Magic Man","Every Day","164","3"
"Maximo Park","Leave This Island","165","3"
"Indila","Derniere danse","166","3"
"James Bay","Hold Back the River","167","3"
"Kyo","Le Graal","168","3"
"Dotan","Home","169","3"
"Bastille","Pompeii - Audien Remix","170","3"
"Black M","Sur ma route","171","3"
"Interpol","All the Rage Back Home","172","3"
"Ed Sheeran","Don't","173","3"
"Ed Sheeran","Thinking Out Loud","174","3"
"Jeff Beal","Rachel And Jacob","175","3"
"Jeff Beal","Put It To Bed","176","3"
"Jeff Beal","Your Respect","177","3"
"Jeff Beal","Married To The V.P.","178","3"
"Jeff Beal","Moments Of Escape","179","3"
"Jeff Beal","Tusk Drops A Bomb","180","3"
"Bleachers","Rollercoaster","181","3"
"Ben Howard","In Dreams","182","3"
"Ben Howard","Time Is Dancing","183","3"
"Hayley Kiyoko","This Side of Paradise","184","3"
"Sugababes","Stronger","185","2"
"Counting Crows","A Long December","186","2"
"Guns N' Roses","Welcome to the Jungle","187","2"
"The Bluetones","Slight Return","188","2"
"Bon Jovi","Bad Medicine","189","2"
"Snoop Dogg","Gin And Juice","190","2"
"OK Go","Don't Ask Me","191","2"
"Bon Jovi","Born To Be My Baby","192","2"
"Dar Williams","When I Was A Boy","193","2"
"Bone Thugs-N-Harmony","Thuggish Ruggish Bone","194","2"
"N.W.A","100 Miles and Runnin'","195","2"
"Dolly Parton","9 to 5","196","2"
"N2DEEP","Back to the Hotel","197","2"
"George Strait","All My Ex's Live In Texas","198","2"
"Fall Out Boy","Dead on Arrival","199","2"
"Bon Jovi","Living In Sin","200","2"
"Fall Out Boy","Saturday","201","2"
"Whitney Houston","I Have Nothing","202","2"
"N.W.A","Just Don't Bite It","203","2"
